State,ResidenceType_Urban,Household_members,HealthInsurance,Single_Parent,Religion,family_id
Jammu & Kashmir,0,5,0,1,2,138
Jammu & Kashmir,0,7,0,0,2,139
Jammu & Kashmir,0,6,0,0,2,140
Jammu & Kashmir,0,7,0,0,2,141
Jammu & Kashmir,0,5,0,0,2,142
Jammu & Kashmir,0,4,0,0,2,143
Jammu & Kashmir,0,3,0,0,2,144
Jammu & Kashmir,0,5,0,0,2,145
Jammu & Kashmir,0,9,0,0,2,146
Jammu & Kashmir,0,9,0,0,2,147
Jammu & Kashmir,0,4,0,0,2,148
Jammu & Kashmir,0,5,0,0,2,149
Jammu & Kashmir,0,4,0,0,2,150
Jammu & Kashmir,0,6,0,0,2,151
Jammu & Kashmir,0,7,0,0,2,152
Jammu & Kashmir,0,4,0,0,2,153
Jammu & Kashmir,0,5,0,0,2,154
Jammu & Kashmir,0,4,0,0,2,155
Jammu & Kashmir,0,3,0,0,2,156
Jammu & Kashmir,0,9,1,0,2,157
Jammu & Kashmir,0,4,0,0,2,158
Jammu & Kashmir,0,4,0,0,2,159
Jammu & Kashmir,0,7,0,0,2,160
Jammu & Kashmir,0,4,0,0,2,161
Jammu & Kashmir,0,6,0,0,2,162
Jammu & Kashmir,0,7,0,0,2,163
Jammu & Kashmir,0,8,0,0,2,164
Jammu & Kashmir,0,5,0,0,2,165
Jammu & Kashmir,0,7,0,0,2,166
Jammu & Kashmir,0,6,0,0,2,167
Jammu & Kashmir,0,8,0,0,2,168
Jammu & Kashmir,0,12,0,0,2,169
Jammu & Kashmir,0,4,0,0,2,170
Jammu & Kashmir,0,6,0,0,2,171
Jammu & Kashmir,0,6,0,0,2,172
Jammu & Kashmir,0,5,0,0,2,173
Jammu & Kashmir,0,6,0,0,2,174
Jammu & Kashmir,0,3,0,0,2,175
Jammu & Kashmir,0,7,0,0,2,176
Jammu & Kashmir,0,6,0,0,2,177
Jammu & Kashmir,0,5,0,0,2,178
Jammu & Kashmir,0,4,0,0,2,179
Jammu & Kashmir,0,6,0,0,2,180
Jammu & Kashmir,0,4,0,0,2,181
Jammu & Kashmir,0,4,0,0,2,182
Jammu & Kashmir,0,6,0,0,2,183
Jammu & Kashmir,0,5,0,0,2,184
Jammu & Kashmir,0,5,0,0,2,185
Jammu & Kashmir,0,4,0,0,2,186
Jammu & Kashmir,0,7,0,0,2,187
Jammu & Kashmir,0,4,0,0,2,188
Jammu & Kashmir,0,6,0,0,2,189
Jammu & Kashmir,0,4,0,0,2,190
Jammu & Kashmir,0,6,0,0,2,191
Jammu & Kashmir,0,5,0,0,2,192
Jammu & Kashmir,0,4,0,0,2,193
Jammu & Kashmir,0,5,0,0,2,194
Jammu & Kashmir,0,8,0,0,2,195
Jammu & Kashmir,0,5,0,0,2,196
Jammu & Kashmir,0,3,0,0,2,197
Jammu & Kashmir,0,4,0,0,2,198
Jammu & Kashmir,0,6,0,0,2,199
Jammu & Kashmir,0,7,0,0,2,200
Jammu & Kashmir,0,5,0,0,2,201
Jammu & Kashmir,0,7,0,0,2,202
Jammu & Kashmir,1,4,0,0,2,203
Jammu & Kashmir,1,3,0,0,2,204
Jammu & Kashmir,1,4,0,0,2,205
Jammu & Kashmir,1,5,0,0,2,206
Jammu & Kashmir,1,3,0,0,2,207
Jammu & Kashmir,1,4,0,0,2,208
Jammu & Kashmir,1,4,0,0,2,209
Jammu & Kashmir,1,8,0,0,2,210
Jammu & Kashmir,1,8,0,0,2,211
Jammu & Kashmir,1,7,0,0,2,212
Jammu & Kashmir,1,7,0,0,2,213
Jammu & Kashmir,1,6,0,0,2,214
Jammu & Kashmir,1,4,0,0,2,215
Jammu & Kashmir,1,3,0,0,2,216
Jammu & Kashmir,1,4,0,0,2,217
Jammu & Kashmir,1,5,0,0,2,218
Jammu & Kashmir,1,6,0,0,2,219
Jammu & Kashmir,1,4,0,0,2,220
Jammu & Kashmir,1,10,0,0,2,221
Jammu & Kashmir,1,5,0,0,2,222
Jammu & Kashmir,1,6,0,0,2,223
Jammu & Kashmir,0,3,0,0,2,224
Jammu & Kashmir,0,6,0,0,2,225
Jammu & Kashmir,0,4,0,0,2,226
Jammu & Kashmir,0,4,0,0,2,227
Jammu & Kashmir,0,4,0,0,2,228
Jammu & Kashmir,0,3,0,0,2,229
Jammu & Kashmir,0,5,0,0,2,230
Jammu & Kashmir,0,4,0,0,2,231
Jammu & Kashmir,0,5,0,0,2,232
Jammu & Kashmir,0,5,0,0,2,233
Jammu & Kashmir,0,8,0,0,2,234
Jammu & Kashmir,0,6,0,0,2,235
Jammu & Kashmir,0,8,0,0,2,236
Jammu & Kashmir,0,5,0,0,2,237
Jammu & Kashmir,0,6,0,0,2,238
Jammu & Kashmir,0,5,0,0,2,239
Jammu & Kashmir,0,5,1,0,2,240
Jammu & Kashmir,0,5,0,0,2,241
Jammu & Kashmir,0,4,0,0,2,242
Jammu & Kashmir,0,5,0,0,2,243
Jammu & Kashmir,0,7,0,0,2,244
Jammu & Kashmir,0,4,0,0,2,245
Jammu & Kashmir,0,8,0,0,2,246
Jammu & Kashmir,0,5,0,0,2,247
Jammu & Kashmir,0,5,0,0,2,248
Jammu & Kashmir,0,6,0,0,2,249
Jammu & Kashmir,0,5,0,0,2,250
Jammu & Kashmir,0,6,0,0,2,251
Jammu & Kashmir,0,5,0,0,2,252
Jammu & Kashmir,0,5,0,0,2,253
Jammu & Kashmir,0,4,0,0,2,254
Jammu & Kashmir,0,6,0,0,2,255
Jammu & Kashmir,0,8,0,0,2,256
Jammu & Kashmir,0,5,0,0,2,257
Jammu & Kashmir,0,5,0,0,2,258
Jammu & Kashmir,0,6,0,0,2,259
Jammu & Kashmir,0,4,0,0,2,260
Jammu & Kashmir,0,5,0,0,2,261
Jammu & Kashmir,0,9,0,0,2,262
Jammu & Kashmir,0,9,0,0,2,263
Jammu & Kashmir,0,5,0,0,2,264
Jammu & Kashmir,0,7,0,0,2,265
Jammu & Kashmir,0,8,0,0,2,266
Jammu & Kashmir,0,6,0,0,2,267
Jammu & Kashmir,0,5,0,0,2,268
Jammu & Kashmir,0,5,0,0,2,269
Jammu & Kashmir,0,6,0,0,2,270
Jammu & Kashmir,0,3,0,0,2,271
Jammu & Kashmir,0,4,0,0,2,272
Jammu & Kashmir,0,3,0,0,2,273
Jammu & Kashmir,0,3,0,0,2,274
Jammu & Kashmir,0,5,0,0,2,275
Jammu & Kashmir,0,3,0,0,2,276
Jammu & Kashmir,0,6,0,0,2,277
Jammu & Kashmir,0,4,0,0,2,278
Jammu & Kashmir,0,7,0,0,2,279
Jammu & Kashmir,0,6,0,0,2,280
Jammu & Kashmir,0,6,0,0,2,281
Jammu & Kashmir,0,4,0,0,2,282
Jammu & Kashmir,0,8,0,0,2,283
Jammu & Kashmir,0,8,0,0,2,284
Jammu & Kashmir,0,5,0,0,2,285
Jammu & Kashmir,0,5,0,0,2,286
Jammu & Kashmir,0,3,0,0,2,287
Jammu & Kashmir,0,5,0,0,2,288
Jammu & Kashmir,0,7,0,0,2,289
Jammu & Kashmir,0,9,0,0,2,290
Jammu & Kashmir,0,4,0,0,2,291
Jammu & Kashmir,0,5,0,0,2,292
Jammu & Kashmir,0,6,0,0,2,293
Jammu & Kashmir,0,6,0,0,2,294
Jammu & Kashmir,0,7,0,0,2,295
Jammu & Kashmir,0,3,0,0,2,296
Jammu & Kashmir,0,7,0,0,2,297
Jammu & Kashmir,0,6,0,0,2,298
Jammu & Kashmir,0,5,0,0,2,299
Jammu & Kashmir,0,4,0,0,2,300
Jammu & Kashmir,0,5,0,0,2,301
Jammu & Kashmir,0,5,0,0,2,302
Jammu & Kashmir,0,9,0,0,2,303
Jammu & Kashmir,0,4,0,0,2,304
Jammu & Kashmir,0,7,0,0,2,305
Jammu & Kashmir,0,9,0,0,2,306
Jammu & Kashmir,0,5,0,0,1,307
Jammu & Kashmir,0,4,0,0,2,308
Jammu & Kashmir,0,5,0,0,2,309
Jammu & Kashmir,0,7,0,0,2,310
Jammu & Kashmir,0,5,0,0,2,311
Jammu & Kashmir,0,5,0,0,2,312
Jammu & Kashmir,0,3,0,0,2,313
Jammu & Kashmir,0,4,0,0,2,314
Jammu & Kashmir,0,5,0,0,2,315
Jammu & Kashmir,0,6,0,0,2,316
Jammu & Kashmir,0,8,0,0,2,317
